縣市,地區,級風數,風的名稱,每秒速度(m),,風速表,,,,
花蓮縣,花蓮市,15,颶風,47.5,,級數,風的名稱,速度(m/sec),,
,吉安鄉,15,颶風,47.5,,0,無風,0,～,0.2
屏東縣,恆春鎮,15,颶風,47.5,,1,軟風,0.3,～,1.5
,滿洲鄉,15,颶風,47.5,,2,輕風,1.6,～,3.3
台北市,台北市,14,颶風,42.5,,3,微風,3.4,～,5.4
基隆市,基隆市,14,颶風,42.5,,4,和風,5.5,～,7.9
新北市,貢寮區,14,颶風,42.5,,5,清風,8,～,10.7
,雙溪區,14,颶風,42.5,,6,強風,10.8,～,13.8
,坪林區,14,颶風,42.5,,7,疾風,13.9,～,17.1
,瑞芳區,14,颶風,42.5,,8,大風,17.2,～,20.7
,平溪區,14,颶風,42.5,,9,烈風,20.8,～,24.4
,石碇區,14,颶風,42.5,,10,狂風,24.5,～,28.4
,深坑區,14,颶風,42.5,,11,暴風,28.5,～,32.6
,汐止區,14,颶風,42.5,,12,颶風,32.7,～,36.9
,萬里區,14,颶風,42.5,,13,颶風,37,～,41.4
,金山區,14,颶風,42.5,,14,颶風,41.5,～,46.1
,石門區,14,颶風,42.5,,15,颶風,46.2,～,50.9
,三芝區,14,颶風,42.5,,16,颶風,51,～,56
,淡水區,14,颶風,42.5,,17,颶風,56.1,～,61.2
屏東縣,車城鄉,14,颶風,42.5,,,,,,
,牡丹鄉,14,颶風,42.5,,,,,,
,枋山鄉,14,颶風,42.5,,,,,,
,獅子鄉,14,颶風,42.5,,,,,,
,枋寮鄉,14,颶風,42.5,,,,,,
,春日鄉,14,颶風,42.5,,,,,,
宜蘭縣,南澳鄉,14,颶風,42.5,,,,,,
,蘇澳鎮,14,颶風,42.5,,,,,,
,冬山鄉,14,颶風,42.5,,,,,,
,五結鄉,14,颶風,42.5,,,,,,
,壯圍鄉,14,颶風,42.5,,,,,,
,頭城鎮,14,颶風,42.5,,,,,,
花蓮縣,玉里鎮,14,颶風,42.5,,,,,,
,瑞穗鄉,14,颶風,42.5,,,,,,
,豐濱鄉,14,颶風,42.5,,,,,,
,光復鄉,14,颶風,42.5,,,,,,
,鳳林鎮,14,颶風,42.5,,,,,,
,壽豐鄉,14,颶風,42.5,,,,,,
,新城鄉,14,颶風,42.5,,,,,,
,秀林鄉,14,颶風,42.5,,,,,,
台東縣,達仁鄉,14,颶風,42.5,,,,,,
,大武鄉,14,颶風,42.5,,,,,,
,太麻里鄉,14,颶風,42.5,,,,,,
,長濱鄉,14,颶風,42.5,,,,,,
新北市,烏來區,13,颶風,37.5,,,,,,
,新店區,13,颶風,37.5,,,,,,
,三峽區,13,颶風,37.5,,,,,,
,五股區,13,颶風,37.5,,,,,,
,蘆洲區,13,颶風,37.5,,,,,,
,三重區,13,颶風,37.5,,,,,,
,泰山區,13,颶風,37.5,,,,,,
,新莊區,13,颶風,37.5,,,,,,
,板橋區,13,颶風,37.5,,,,,,
,中和區,13,颶風,37.5,,,,,,
,永和區,13,颶風,37.5,,,,,,
,土城區,13,颶風,37.5,,,,,,
,樹林區,13,颶風,37.5,,,,,,
,鶯歌區,13,颶風,37.5,,,,,,
,林口區,13,颶風,37.5,,,,,,
,八里區,13,颶風,37.5,,,,,,
桃園市,全區,13,颶風,37.5,,,,,,
新竹縣,新豐鄉,13,颶風,37.5,,,,,,
,湖口鄉,13,颶風,37.5,,,,,,
,新埔鎮,13,颶風,37.5,,,,,,
,關西鎮,13,颶風,37.5,,,,,,
,橫山鄉,13,颶風,37.5,,,,,,
,尖石鄉,13,颶風,37.5,,,,,,
台中市,和平區,13,颶風,37.5,,,,,,
南投縣,信義鄉,13,颶風,37.5,,,,,,
台南市,七股區,13,颶風,37.5,,,,,,
,中西區,13,颶風,37.5,,,,,,
,東區,13,颶風,37.5,,,,,,
,南區,13,颶風,37.5,,,,,,
,北區,13,颶風,37.5,,,,,,
,安平區,13,颶風,37.5,,,,,,
,安南區,13,颶風,37.5,,,,,,
高雄市,林園區,13,颶風,37.5,,,,,,
,大寮區,13,颶風,37.5,,,,,,
,大樹區,13,颶風,37.5,,,,,,
,燕巢區,13,颶風,37.5,,,,,,
,大社區,13,颶風,37.5,,,,,,
,仁武區,13,颶風,37.5,,,,,,
,鳥松區,13,颶風,37.5,,,,,,
,鳳山區,13,颶風,37.5,,,,,,
,橋頭區,13,颶風,37.5,,,,,,
,岡山區,13,颶風,37.5,,,,,,
,梓官區,13,颶風,37.5,,,,,,
,彌陀區,13,颶風,37.5,,,,,,
,永安區,13,颶風,37.5,,,,,,
,茄萣區,13,颶風,37.5,,,,,,
,路竹區,13,颶風,37.5,,,,,,
,湖內區,13,颶風,37.5,,,,,,
,桃源區,13,颶風,37.5,,,,,,
,新興區,13,颶風,37.5,,,,,,
,前金區,13,颶風,37.5,,,,,,
,苓雅區,13,颶風,37.5,,,,,,
,鹽埕區,13,颶風,37.5,,,,,,
,鼓山區,13,颶風,37.5,,,,,,
,旗津區,13,颶風,37.5,,,,,,
,前鎮區,13,颶風,37.5,,,,,,
,三民區,13,颶風,37.5,,,,,,
,楠梓區,13,颶風,37.5,,,,,,
,小港區,13,颶風,37.5,,,,,,
,左營區,13,颶風,37.5,,,,,,
屏東縣,佳冬鄉,13,颶風,37.5,,,,,,
,林邊鄉,13,颶風,37.5,,,,,,
,東港鄉,13,颶風,37.5,,,,,,
,新埤鄉,13,颶風,37.5,,,,,,
,來義鄉,13,颶風,37.5,,,,,,
,泰武鄉,13,颶風,37.5,,,,,,
,萬巒鄉,13,颶風,37.5,,,,,,
,潮州鎮,13,颶風,37.5,,,,,,
,竹田鄉,13,颶風,37.5,,,,,,
,崁頂鄉,13,颶風,37.5,,,,,,
,南州鄉,13,颶風,37.5,,,,,,
,萬丹鄉,13,颶風,37.5,,,,,,
,新園鄉,13,颶風,37.5,,,,,,
,麟洛鄉,13,颶風,37.5,,,,,,
,瑪家鄉,13,颶風,37.5,,,,,,
,內埔鄉,13,颶風,37.5,,,,,,
,長治鄉,13,颶風,37.5,,,,,,
,屏東市,13,颶風,37.5,,,,,,
,九如鄉,13,颶風,37.5,,,,,,
,鹽埔鄉,13,颶風,37.5,,,,,,
,里港鄉,13,颶風,37.5,,,,,,
,高樹鄉,13,颶風,37.5,,,,,,
,三地門鄉,13,颶風,37.5,,,,,,
,霧台鄉,13,颶風,37.5,,,,,,
宜蘭縣,大同鄉,13,颶風,37.5,,,,,,
,三星鄉,13,颶風,37.5,,,,,,
,員山鄉,13,颶風,37.5,,,,,,
,羅東鎮,13,颶風,37.5,,,,,,
,宜蘭市,13,颶風,37.5,,,,,,
,礁溪鄉,13,颶風,37.5,,,,,,
花蓮縣,富里鄉,13,颶風,37.5,,,,,,
,卓溪鄉,13,颶風,37.5,,,,,,
,萬榮鄉,13,颶風,37.5,,,,,,
台東縣,金峰鄉,13,颶風,37.5,,,,,,
,卑南鄉,13,颶風,37.5,,,,,,
,台東市,13,颶風,37.5,,,,,,
,東河鄉,13,颶風,37.5,,,,,,
,鹿野鄉,13,颶風,37.5,,,,,,
,延平鄉,13,颶風,37.5,,,,,,
,關山鎮,13,颶風,37.5,,,,,,
,池上鄉,13,颶風,37.5,,,,,,
,海端鄉,13,颶風,37.5,,,,,,
,成功鎮,13,颶風,37.5,,,,,,
新竹縣,五峰鄉,11,暴風,32.5,,,,,,
,北埔鄉,11,暴風,32.5,,,,,,
,峨眉鄉,11,暴風,32.5,,,,,,
,竹東鎮,11,暴風,32.5,,,,,,
,寶山鄉,11,暴風,32.5,,,,,,
,芎林鄉,11,暴風,32.5,,,,,,
,竹北市,11,暴風,32.5,,,,,,
新竹市,新竹市,11,暴風,32.5,,,,,,
苗栗縣,全區,11,暴風,32.5,,,,,,
台中市,東勢區,11,暴風,32.5,,,,,,
,新社區,11,暴風,32.5,,,,,,
,太平區,11,暴風,32.5,,,,,,
,石岡區,11,暴風,32.5,,,,,,
,豐原區,11,暴風,32.5,,,,,,
,潭子區,11,暴風,32.5,,,,,,
,神岡區,11,暴風,32.5,,,,,,
,大雅區,11,暴風,32.5,,,,,,
,大肚區,11,暴風,32.5,,,,,,
,龍井區,11,暴風,32.5,,,,,,
,沙鹿區,11,暴風,32.5,,,,,,
,梧棲區,11,暴風,32.5,,,,,,
,清水區,11,暴風,32.5,,,,,,
,后里區,11,暴風,32.5,,,,,,
,外埔區,11,暴風,32.5,,,,,,
,大安區,11,暴風,32.5,,,,,,
,大甲區,11,暴風,32.5,,,,,,
,中區,11,暴風,32.5,,,,,,
,東區,11,暴風,32.5,,,,,,
,南區,11,暴風,32.5,,,,,,
,西區,11,暴風,32.5,,,,,,
,北區,11,暴風,32.5,,,,,,
,北屯區,11,暴風,32.5,,,,,,
,西屯區,11,暴風,32.5,,,,,,
,南屯區,11,暴風,32.5,,,,,,
彰化縣,伸港鄉,11,暴風,32.5,,,,,,
,線西鄉,11,暴風,32.5,,,,,,
,和美鎮,11,暴風,32.5,,,,,,
南投縣,仁愛鄉,11,暴風,32.5,,,,,,
雲林縣,口湖鄉,11,暴風,32.5,,,,,,
,水林鄉,11,暴風,32.5,,,,,,
,四湖鄉,11,暴風,32.5,,,,,,
嘉義縣,布袋鄉,11,暴風,32.5,,,,,,
,鹿草鄉,11,暴風,32.5,,,,,,
,太保市,11,暴風,32.5,,,,,,
,六腳鄉,11,暴風,32.5,,,,,,
,朴子市,11,暴風,32.5,,,,,,
,東石鄉,11,暴風,32.5,,,,,,
台南市,永康區,11,暴風,32.5,,,,,,
,歸仁區,11,暴風,32.5,,,,,,
,新化區,11,暴風,32.5,,,,,,
,左鎮區,11,暴風,32.5,,,,,,
,玉井區,11,暴風,32.5,,,,,,
, 楠西區,11,暴風,32.5,,,,,,
,南化區,11,暴風,32.5,,,,,,
,仁德區,11,暴風,32.5,,,,,,
,關廟區,11,暴風,32.5,,,,,,
,龍崎區,11,暴風,32.5,,,,,,
,官田區,11,暴風,32.5,,,,,,
,麻豆區,11,暴風,32.5,,,,,,
,佳里區,11,暴風,32.5,,,,,,
,西港區,11,暴風,32.5,,,,,,
,將軍區,11,暴風,32.5,,,,,,
,學甲區,11,暴風,32.5,,,,,,
,北門區,11,暴風,32.5,,,,,,
,新營區,11,暴風,32.5,,,,,,
,後壁區,11,暴風,32.5,,,,,,
,東山區,11,暴風,32.5,,,,,,
,六甲區,11,暴風,32.5,,,,,,
,下營區,11,暴風,32.5,,,,,,
,柳營區,11,暴風,32.5,,,,,,
,鹽水區,11,暴風,32.5,,,,,,
,善化區,11,暴風,32.5,,,,,,
,大內區,11,暴風,32.5,,,,,,
,山上區,11,暴風,32.5,,,,,,
,新市區,11,暴風,32.5,,,,,,
,安定區,11,暴風,32.5,,,,,,
高雄縣,阿蓮區,11,暴風,32.5,,,,,,
,田寮區,11,暴風,32.5,,,,,,
,旗山區,11,暴風,32.5,,,,,,
,美濃區,11,暴風,32.5,,,,,,
,內門區,11,暴風,32.5,,,,,,
,杉林區,11,暴風,32.5,,,,,,
,六龜區,11,暴風,32.5,,,,,,
,茂林區,11,暴風,32.5,,,,,,
,甲仙區,11,暴風,32.5,,,,,,
,三民區,11,暴風,32.5,,,,,,
台中市,烏日區,10,狂風,27.5,,,,,,
,霧峰區,10,狂風,27.5,,,,,,
,大里區,10,狂風,27.5,,,,,,
