郵遞區號,縣市,地區,每秒速度(m)
100,台北市,台北市,42.5
200,基隆市,基隆市,42.5
202,彭佳嶼,彭佳嶼,57
207,新北市,萬里區,42.5
208,新北市,金山區,42.5
209,馬祖,馬祖,42
220,新北市,板橋區,37.5
221,新北市,汐止區,42.5
222,新北市,深坑區,42.5
223,新北市,石碇區,42.5
224,新北市,瑞芳區,42.5
226,新北市,平溪區,42.5
227,新北市,雙溪區,42.5
228,新北市,貢寮區,42.5
231,新北市,新店區,37.5
232,新北市,坪林區,42.5
233,新北市,烏來區,37.5
234,新北市,永和區,37.5
235,新北市,中和區,37.5
236,新北市,土城區,37.5
237,新北市,三峽區,37.5
238,新北市,樹林區,37.5
239,新北市,鶯歌區,37.5
241,新北市,三重區,37.5
242,新北市,新莊區,37.5
243,新北市,泰山區,37.5
244,新北市,林口區,37.5
247,新北市,蘆洲區,37.5
248,新北市,五股區,37.5
249,新北市,八里區,37.5
251,新北市,淡水區,42.5
252,新北市,三芝區,42.5
253,新北市,石門區,42.5
260,宜蘭縣,宜蘭市,37.5
261,宜蘭縣,頭城鎮,42.5
262,宜蘭縣,礁溪鄉,37.5
263,宜蘭縣,壯圍鄉,42.5
264,宜蘭縣,員山鄉,37.5
265,宜蘭縣,羅東鎮,37.5
266,宜蘭縣,三星鄉,37.5
267,宜蘭縣,大同鄉,37.5
268,宜蘭縣,五結鄉,42.5
269,宜蘭縣,冬山鄉,42.5
270,宜蘭縣,蘇澳鎮,42.5
272,宜蘭縣,南澳鄉,42.5
300,新竹市,新竹市,32.5
302,新竹縣,竹北市,32.5
303,新竹縣,湖口鄉,37.5
304,新竹縣,新豐鄉,37.5
305,新竹縣,新埔鎮,37.5
306,新竹縣,關西鎮,37.5
307,新竹縣,芎林鄉,32.5
308,新竹縣,寶山鄉,32.5
310,新竹縣,竹東鎮,32.5
311,新竹縣,五峰鄉,32.5
312,新竹縣,橫山鄉,37.5
313,新竹縣,尖石鄉,37.5
314,新竹縣,北埔鄉,32.5
315,新竹縣,峨眉鄉,32.5
320,桃園市,全區,37.5
347,雲林縣,荊桐鄉,27.5
350,苗栗縣,全區,32.5
400,台中市,中區,32.5
401,台中市,東區,32.5
402,台中市,南區,32.5
403,台中市,西區,32.5
404,台中市,北區,32.5
406,台中市,北屯區,32.5
407,台中市,西屯區,32.5
408,台中市,南屯區,32.5
411,台中市,太平區,32.5
412,台中市,大里區,27.5
413,台中市,霧峰區,27.5
414,台中市,烏日區,27.5
420,台中市,豐原區,32.5
421,台中市,后里區,32.5
422,台中市,石岡區,32.5
423,台中市,東勢區,32.5
424,台中市,和平區,37.5
426,台中市,新社區,32.5
427,台中市,潭子區,32.5
428,台中市,大雅區,32.5
429,台中市,神岡區,32.5
432,台中市,大肚區,32.5
433,台中市,沙鹿區,32.5
434,台中市,龍井區,32.5
435,台中市,梧棲區,32.5
436,台中市,清水區,32.5
437,台中市,大甲區,32.5
438,台中市,外埔區,32.5
439,台中市,大安區,32.5
500,彰化縣,彰化市,27.5
502,彰化縣,芬園鄉,27.5
503,彰化縣,花壇鄉,27.5
504,彰化縣,秀水鄉,27.5
505,彰化縣,鹿港鎮,27.5
506,彰化縣,福興鄉,27.5
507,彰化縣,線西鄉,32.5
508,彰化縣,和美鎮,32.5
509,彰化縣,伸港鄉,32.5
510,彰化縣,員林鎮,27.5
511,彰化縣,社頭鄉,27.5
512,彰化縣,永靖鄉,27.5
513,彰化縣,埔心鄉,27.5
514,彰化縣,溪湖鎮,27.5
515,彰化縣,大村鄉,27.5
516,彰化縣,埔鹽鄉,27.5
520,彰化縣,田中鎮,27.5
521,彰化縣,北斗鎮,27.5
522,彰化縣,田尾鄉,27.5
523,彰化縣,埤頭鄉,27.5
524,彰化縣,溪州鄉,27.5
525,彰化縣,竹塘鄉,27.5
526,彰化縣,二林鎮,27.5
527,彰化縣,大城鄉,27.5
528,彰化縣,芳苑鄉,27.5
530,彰化縣,二水鄉,27.5
540,南投縣,南投市,27.5
541,南投縣,中寮鄉,27.5
542,南投縣,草屯鎮,27.5
544,南投縣,國姓鄉,27.5
545,南投縣,埔里鎮,27.5
546,南投縣,仁愛鄉,32.5
551,南投縣,名間鄉,27.5
552,南投縣,集集鎮,22.5
553,南投縣,水里鄉,22.5
555,南投縣,魚池鄉,27.5
556,南投縣,信義鄉,37.5
557,南投縣,竹山鎮,22.5
558,南投縣,鹿谷鄉,22.5
600,嘉義市,嘉義市,27.5
602,嘉義縣,番路鄉,27.5
603,嘉義縣,梅山鄉,27.5
604,嘉義縣,竹崎鄉,27.5
605,嘉義縣,阿里山鄉,27.5
606,嘉義縣,中埔鄉,27.5
607,嘉義縣,大埔鄉,27.5
608,嘉義縣,水上鄉,27.5
