id,GreenhouseType,BuildBranch,BuildItem,Cost,StructuralRisk,JobDifficulty
1,簡易型溫室,溫室管材,標準管材,1,1,1
2,簡易型溫室,溫室管材,高強管材,1.1,0.9,0.95
3,簡易型溫室,溫室管材,耐蝕管材,1.05,0.95,0.95
4,簡易型溫室,溫室管材,高強高耐蝕管材,1.15,0.8,0.9
5,簡易型溫室,圓頂形式,單一圓拱,1,1,1
6,簡易型溫室,圓頂形式,下橫樑,1.1,0.98,0.95
7,簡易型溫室,圓頂形式,上1/3橫梁,1.05,0.95,0.95
8,簡易型溫室,圓頂形式,上二橫梁,1.1,0.9,0.95
9,簡易型溫室,圓頂形式,T型樑,1.15,0.98,0.95
10,簡易型溫室,圓頂形式,三支集中樑,1.2,0.95,0.95
11,簡易型溫室,圓頂形式,三支垂支梁,1.2,0.99,0.95
12,簡易型溫室,圓頂形式,V型樑,1.1,0.93,0.95
13,簡易型溫室,圓頂形式, W型樑,1.2,0.88,0.95
14,簡易型溫室,圓拱距,"1M-1""",1,1,1
15,簡易型溫室,圓拱距,"1M-1-1/4""",1.2,1.1,1
16,簡易型溫室,圓拱距,"1M-1-1/2""",1.3,1.2,1
17,簡易型溫室,圓拱距,"1.5M-1-1/2""",1.2,0.95,1
18,簡易型溫室,圓拱距,"2M-2""",1,0.9,1
19,簡易型溫室,圓拱距,"0.5M-1""",1.8,0.6,1
20,簡易型溫室,圓拱距,"0.5-3/4""",1.5,0.7,1
21,簡易型溫室,圓拱距,"0.5-1/2""",1.2,0.8,1
22,簡易型溫室,基礎,直插40cm,1,1,1
23,簡易型溫室,基礎,直插50cm,1.1,0.9,1
24,簡易型溫室,基礎,直插30cm,0.9,1.1,1
25,簡易型溫室,基礎,直插40cm+地錨,1.2,0.8,1
26,簡易型溫室,基礎,直插50cm+地錨,1.3,0.7,1
27,簡易型溫室,基礎,直插30cm+地錨,1.1,0.85,1
28,簡易型溫室,跨距,5.4m,1,1,1
29,簡易型溫室,跨距,6m,1.1,1.1,0.95
30,簡易型溫室,跨距,7.2m,1.2,1.2,0.9
31,簡易型溫室,跨距,8m,1.25,1.3,0.85
32,簡易型溫室,肩高,2m,1,1,1
33,簡易型溫室,肩高,2.5m,1.1,1.05,0.95
34,簡易型溫室,肩高,3m,1.15,1.1,0.92
35,簡易型溫室,肩高,3.5m,1.2,1.25,0.9
36,簡易型溫室,肩高,4m,1.23,1.3,0.88
37,簡易型溫室,長度,30m,1,1,1
38,簡易型溫室,長度,60m,0.96,0.99,0.98
39,簡易型溫室,長度,90m,0.93,0.98,0.96
40,簡易型溫室,長度,120m,0.9,0.97,0.94
41,簡易型溫室,連續性,獨棟,1,1,1
42,簡易型溫室,連續性,二連棟,0.95,0.95,0.95
43,簡易型溫室,連續性,三連棟,0.9,0.9,0.93
44,簡易型溫室,連續性,四連棟,0.88,0.88,0.92
45,簡易型溫室,披覆膜,PE,1,1,1
46,簡易型溫室,披覆膜,PO,2,0.95,1
47,簡易型溫室,披覆膜,硬質塑材,3,0.9,0.9
48,簡易型溫室,披覆膜,ETFE,10,0.6,0.7
49,簡易型溫室,披覆膜,玻璃,5,0.8,0.8
50,強固型溫室,溫室型材,標準型材,1,1,1
51,強固型溫室,溫室型材,高強型材,1.1,0.9,0.95
52,強固型溫室,溫室型材,耐蝕型材,1.05,0.95,0.95
53,強固型溫室,溫室型材,高強高耐蝕型材,1.15,0.8,0.9
54,強固型溫室,屋頂形式,圓頂UBP,1,1,1
55,強固型溫室,屋頂形式,圓力霸UTP,1.1,0.95,1
56,強固型溫室,屋頂形式,山型VBP,1.1,0.98,1
57,強固型溫室,屋頂形式,山力霸VTP,1.2,0.9,1
58,強固型溫室,屋頂形式,W型力霸,1.3,0.9,1
59,強固型溫室,屋頂形式,單斜SP,1,0.92,1
60,強固型溫室,上拱距,2M,1,1,1
61,強固型溫室,上拱距,1.33M,1.1,0.95,1
62,強固型溫室,上拱距,1M,1.2,0.9,1
63,強固型溫室,基礎,獨立基礎,1,1,1
64,強固型溫室,基礎,連續樑,1.2,0.9,1
65,強固型溫室,基礎,快速基礎,0.9,1.1,1
66,強固型溫室,跨距,6m,1,1,1
67,強固型溫室,跨距,7m,1.05,1.05,0.95
68,強固型溫室,跨距,8m,1.1,1.1,0.9
69,強固型溫室,跨距,9m,1.15,1.15,0.85
70,強固型溫室,跨距,10m,1.2,1.2,0.8
71,強固型溫室,肩高,3m,1,1,1
72,強固型溫室,肩高,3.5m,1.05,1.05,0.95
73,強固型溫室,肩高,4m,1.1,1.1,0.92
74,強固型溫室,肩高,4.5m,1.15,1.25,0.9
75,強固型溫室,肩高,5m,1.2,1.3,0.88
76,強固型溫室,長度,30m,1,1,1
77,強固型溫室,長度,60m,0.96,0.99,0.98
78,強固型溫室,長度,90m,0.93,0.98,0.96
79,強固型溫室,長度,120m,0.9,0.97,0.94
80,強固型溫室,連續性,獨棟,1,1,1
81,強固型溫室,連續性,二連棟,0.95,0.95,0.95
82,強固型溫室,連續性,三連棟,0.9,0.9,0.93
83,強固型溫室,連續性,四連棟,0.88,0.88,0.92
84,強固型溫室,披覆膜,PE,1,1,1
85,強固型溫室,披覆膜,PO,2,0.95,1
86,強固型溫室,披覆膜,硬質塑材,3,0.9,0.9
87,強固型溫室,披覆膜,ETFE,10,0.6,0.7
88,強固型溫室,披覆膜,玻璃,5,0.8,0.8
