GreenhouseId,GreenhouseType,width,ColumnHeight,ChordHeight,Donggao,Bevel,ShoulderHeight,Span
UBP520_300,圓頂溫室,5.2,3,1.5,,,,
UBP620_300,圓頂溫室,6.2,3,1.5,,,,
UBP680_300,圓頂溫室,6.8,3,1.5,,,,
UBP680_350,圓頂溫室,6.8,3.5,1.5,,,,
UTP960_350,圓頂溫室,9.6,3.5,1.5,,,,
UTP1040_350,圓頂溫室,10.4,3.5,1.5,,,,
UTP1140_350,圓頂溫室,11.4,3.5,1.5,,,,
UTP1140_400,圓頂溫室,11.4,4,1.5,,,,
UP540_185,山型溫室,5.4,1.85,,3.05,,,
UP600_205,山型溫室,6,2.05,,3.45,,,
UP720_180,山型溫室,7.2,1.8,,3.8,,,
UP720_400,山型溫室,7.2,4,,6,,,
UP800_400,山型溫室,8,4,,6,,,
UP800_500,山型溫室,8,5,,7,,,
SP1100_12,斜頂溫室,,,,,12,4,11
SP1100_20,斜頂溫室,,,,,20,4,11
SP1100_23,斜頂溫室,,,,,23,4,11
SP1100_30,斜頂溫室,,,,,30,4,11
WTG640_300,2連棟山型溫室,6.4,3,,5,,,
WTG640_350,2連棟山型溫室,6.4,3.5,,5.5,,,
WTG640_400,2連棟山型溫室,6.4,4,,6,,,
VBP820_300,2連棟山型溫室,8.2,3,,4.5,,,
VBP860_300,2連棟山型溫室,8.6,3,,4.5,,,
VBP860_350,2連棟山型溫室,8.6,3.5,,5,,,
WTG960_300,3連棟山型溫室,9.6,3,,5,,,
WTG960_350,3連棟山型溫室,9.6,3.5,,5.5,,,
WTG960_400,3連棟山型溫室,9.6,4,,6,,,
VTP2400_400,3連棟山型溫室,24,4,,6.57,,,
VTP2400_450,3連棟山型溫室,24,4.5,,7.07,,,
VTP2400_500,3連棟山型溫室,24,5,,7.57,,,
