classification,VegetableTypes,Goodlight,Photoperiod,Illuminance,PPFD,LightSaturationPoint,LightCompensationPoint,Temperatureadaptability,LowestGrowthTemperature,OptimalGrowthTemperature,HighestGrowthTemperature,LowestGerminationTemperature,OptimumGerminationTemperature,HighestGerminationTemperature,CO2IncreasedProductionRate
葉菜,不結球白菜類,中間型作物,長日植物,40000~60000,725~1090之間,-,-,-,6~8,20~25,28~32,-,-,-,53%
果菜,冬瓜,-,-,-,-,-,-,暖季蔬菜,6~8,25~30,35~38,-,-,-,-
果菜,南瓜,好光型作物,-,60000~90000,1090~1650以上,60~70,2.5~3.0,暖季蔬菜,7~9,18~32,35,15,20~25,40,30%
果菜,四季豆,-,-,-,-,-,-,中間型蔬菜,6~9,18~25,28~30,-,-,-,-
果菜,夏南瓜,-,-,-,-,-,-,暖季蔬菜,7~9,25~30,35~40,-,-,-,30%
糧食,大豆,-,短日植物,-,-,-,-,暖季蔬菜,-,-,-,10,25~30,35,46%
葉菜,小白菜,中間型作物,長日植物,40000~60000,725~1090之間,30~40,1.5~2.5,-,-,-,-,-,-,-,53%
糧食,小麥,-,長日植物,-,-,24~30,0.2~0.4,-,-,-,-,20,25~30,40,43%
根菜,山藥,好光型作物,-,60000~90000,1090~1650以上,-,-,-,-,-,-,-,-,-,-
果菜,扁蒲,好光型作物,-,60000~90000,1090~1650以上,-,-,-,-,-,-,-,-,-,30%
 水果,梨,好光型作物,-,60000~90000,1090~1650以上,-,-,-,-,-,-,-,-,-,-
糧食,水稻,-,-,-,-,40~50,0.6~0.7,-,-,-,-,10,20~35,45,37%
糧食,玉米,-,-,-,-,>100,0,-,-,-,-,10,25~30,40,22%
花,玫瑰,好光型作物,-,60000~90000,1090~1650以上,-,-,-,-,-,-,-,-,-,-
根菜,甘薯,-,-,-,-,35~40,5,-,-,-,-,-,-,-,46%
葉菜,甘藍,中間型作物,長日植物,40000~60000,725~1090之間,30~40,1.8~2.5,涼季蔬菜,2~5,18~22,27~29,8,15~30,35,27%
果菜,甜椒,中間型作物,-,40000~60000,725~1090之間,45~60,2.0~2.5,中間型蔬菜,6~8,20~28,32~35,-,-,-,-
果菜,甜瓜,好光型作物,-,60000~90000,1090~1650以上,50~60,2.2~2.7,-,8~10,20~30,35~38,-,-,-,-
果菜,番椒,-,-,-,-,-,-,-,-,-,-,15,20~30,35,25%
果菜,番茄,好光型作物,中日植物-,60000~90000,1090~1650以上,60~70,2.0~2.5,中間型蔬菜,7~9,20~28,32~35,11,15~27,30,20%
果菜,碗豆,-,長日植物-,-,-,50~60,1.5~2.0,涼季蔬菜,4~7,16~22,25~28,-,-,-,31%
葉菜,空心菜,弱光型作物,短日植物,25000~40000,450~725以下,-,-,暖季蔬菜,8~11,25~32,35~38,-,-,-,53%
葉菜,結球白菜,中間型作物,長日植物,40000~60000,725~1090之間,40~50,1.8~2.5,涼季蔬菜,2~5,18~22,26~28,-,-,-,53%
葉菜,結球萵苣,弱光型作物,長日植物,25000~40000,450~725以下,40~50,2.0~2.5,涼季蔬菜,-,-,-,-,-,-,53%
果菜,絲瓜,-,短日植物,-,-,-,-,暖季蔬菜,8~10,25~30,35~40,-,-,-,-
果菜,胡瓜,好光型作物,-,60000~90000,1090~1650以上,40~60,1.5~2.5,-,8~10,25~30,35~38,18,25~30,30,39%
根菜,胡蘿蔔,中間型作物,長日植物,40000~60000,725~1090之間,-,-,涼季蔬菜,3~5,18~23,25~26,11,15~25,30,60%
莖菜,芋,好光型作物,-,60000~90000,1090~1650以上,60~70,4,-,-,-,-,-,-,-,-
水果,芒果,好光型作物,-,60000~90000,1090~1650以上,-,-,-,-,-,-,-,-,-,30%
葉菜,芥菜,弱光型作物,長日植物,25000~40000,450~725以下,-,-,涼季蔬菜,1~3,15~22,25~28,-,-,-,53%
葉菜,芥藍,弱光型作物,-,25000~40000,450~725以下,-,-,涼季蔬菜,1~3,18~25,28~32,-,-,-,53%
花菜,花椰菜,-,-,-,-,30~40,1.5~1.8,涼季蔬菜,2~5,18~25,25~28,-,-,-,34%
葉菜,芹菜,弱光型作物,長日植物,25000~40000,450~725以下,20~30,1.5~2.2,涼季蔬菜,2~5,15~22,15~28,-,-,-,-
果菜,苦瓜,-,-,-,-,50~60,1.5~2.0,暖季蔬菜,10~12,22~30,35~38,-,-,-,-
果菜,茄子,好光型作物,中日植物,60000~90000,1090~1650以上,50~60,2.0~2.5,暖季蔬菜,7~10,22~32,35~38,15,20~25,33,54%
葉菜,茼蒿,弱光型作物,短日植物,25000~40000,450~725以下,-,-,涼季蔬菜,7~10,18~23,25~27,-,-,-,53%
果菜,草莓,中間型作物,-,40000~60000,725~1090之間,-,-,-,-,-,-,-,-,-,30%
葉菜,莧菜,弱光型作物,短日植物,25000~40000,450~725以下,60~70,2.5~3.5,暖季蔬菜,10~12,25~35,38~40,-,-,-,53%
果菜,菜豆,-,中日植物,-,-,30~40,2.0~2.5,-,-,-,-,-,-,-,22%
葉菜,菠菜,弱光型作物,長日植物,25000~40000,450~725以下,20~30,1.5~2.0,涼季蔬菜,2~3,15~23,25~28,5,15~20,30,53%
葉菜,萵苣,弱光型作物,長日植物,25000~40000,450~725以下,30~40,1.5,-,4~6,18~23,25~28,4,15~20,25,40%
水果,葡萄,好光型作物,-,60000~90000,1090~1650以上,-,-,-,-,-,-,-,-,-,30%
葉菜,蕹菜,弱光型作物,-,25000~40000,450~725以下,40~50,1.5~2.0,-,-,-,-,-,-,-,53%
莖菜,薑,弱光型作物,-,25000~40000,450~725以下,20,1.5,暖季蔬菜,-,-,-,-,-,-,-
根菜,蘿蔔,中間型作物,長日植物,40000~60000,725~1090之間,60~70,2.4,涼季蔬菜,3~5,16~21,23~25,-,-,-,-
果菜,西瓜,好光型作物,-,60000~90000,1090~1650以上,-,-,-,8~12,22~35,38~40,15,25~30,35,-
果菜,豇豆,-,短日植物,-,-,55~65,2.5~3.0,暖季蔬菜,9~11,25~30,32~35,10,25~30,-,86%
花菜,青花菜,-,-,-,-,30~40,2.0~2.5,涼季蔬菜,3~5,15~23,25~28,-,-,-,-
莖菜,韭菜,弱光型作物,-,25000~40000,450~725以下,50~60,1.5~2.0,-,2~5,18~25,32~35,-,-,-,53%
